PROVIDER,LP,PROVIDED_LP_TOKENS,WITHDRAWN_LP_TOKENS,BALANCE
terra1c5ppmyr8fdspylexuhvlg4tnyt9wxzuu97sg5a,luna-ust,77722859,77722000,859
terra1skw0wv3hfaqt9j0ypeumyatvujfm5l6rjmh6yt,loop-ust,461825,461000,825
terra1sklp3pmdgt2206ksg7s95gfxmqxs0xqwgh6f2w,loop-ust,489009085,489009000,85
terra1350eaa3g2gqg6jgzhsfjajladrnu2jey22gt27,loop-ust,18565937,18565000,937
terra1dz2ht5p7pycsswqj6jj9cktvpz9yu42pv0dy85,mine-ust,204060752,204060000,752
terra1yvakhfnjf9hagyrjyvfvjr7fqtmf7yqslpaqpy,loop-mir,1854833893,1854833000,893
terra1fysg8p67xyrm0wnw40hyelgm2h7x3c79e63dmt,anc-ust,4933031522,4933031000,522
terra1sqnlwp0gh22ysc8yx8uty7k8hjgf77d4w7tsme,loop-ust,249840372,249840000,372
terra10lcr23r7pmwva6pdfhp2htzkjzrgq6yrp3pflj,loop-ust,3218701,3218000,701
terra13qygq74wwr0f9vn0807e095d7egzjetu8ejnys,loop-ust,1157680476,1157680000,476
terra10xx46ahg4av6dy65vncwpn7vsc6v2c6nswjauy,aust-ust,155719257676,155719257000,676
terra1aaprn9deunqh4gyj0wfwaexgpw3jq3fkll7nfd,loop-ust,60438955,60438000,955
terra12eu4as0z09erkf98hj0m5p50dpkwrnqadm7ha8,mine-ust,296035666,296035000,666
terra1929zpuflzgwfv3m094h5qstd2227p37f8asnnc,luna-ust,20185810,8049000,12136810
terra1rlty37ufck4qgyuta82vt4epjj29aa20yd64qh,loop-ust,31410647,31410000,647
terra10xx46ahg4av6dy65vncwpn7vsc6v2c6nswjauy,loop-luna,469569351,469569000,351
terra14mtcah52qxjkrd64zaja8vsxcv3vxsh2jeh6r0,loop-ust,103819405,103819000,405
terra1zt723gxgj27qxhnj80zdsd6ru5499q00yzak30,loop-ust,42424549,42424000,549
terra1uw39v8y5czse25wvy4g6vdepfzlyhgt2s7nk23,loop-ust,199277196,199277000,196
terra16mnsdnl65cxvvhvtltlc7rarm6r2wndp0fkgnw,loopr-ust,969218078,969218000,78
terra1waq2vke2a53xkp8frwu8uxpna4g0rsh676acd9,aust-ust,1071854868,1071854000,868
terra190wcnjlth092h647z4gvzv5gp6chwuyfheeyrj,loop-ust,17428179,17428000,179
terra1z66y9672ulh5hhaa9t5nwhgra8retxn29wkcad,loop-halo,13015865184,13015865000,184
terra17daca2q0pzd69f9tw0kv0dfcnw0fswzz4h4nqc,loop-ust,16778607,16778000,607
terra1wlmsdgflt40h06a5g8eql8dvc76gx9kq9tlhj8,loop-ust,6965015331,6965015000,331
terra1ps8huw6lx383fzslc74x0apkzly75e0h685qvp,loop-ust,47713119141,28998214000,18714905141
terra1m3qt4gknps2v23hcxhh2jajfw5ufr62wn82zwd,bluna-luna,74761292,74761000,292
terra10x0aaa56zrwj5t36msfdcx4jhc86y2h02shjpl,mine-ust,568010730,568010000,730
terra1k6zaq2gs2czyfyj7gjkv7jc7r0kd4wtgvf0wdn,alte-ust,106139218,106139000,218
terra15hvlefyuc9s80dczd4n4qwcglxhcnrr2w952wt,loop-loopr,1234347644,1234347000,644
terra1mzq7zj6vx909qcgrs2y68s88lxd0f0eslgzt65,loop-mine,70551319,70551000,319
terra1qgqj2f2na0ktlcfdz06ne7w4lzu52x4tuh5qa3,mine-ust,4818510843,4818510000,843
terra1n2e2z866kclcgj73wfys80a7rtvfq9ftts65gn,loop-ust,3630241,3630000,241
terra1gqax9p28c2pp4rqnnl4a7rcfcvmfremm9nupzq,loop-ust,179522153,179522000,153
terra1d03ppywn369qzajeuqs0dge29rchxteaqasn75,loop-ust,803257877,402706000,400551877
terra1vu9sjkd4sw8d38hjcu7puafurcfm0kgarqtqym,loopr-ust,103045885,103045000,885
terra1s6avfkhqzu25cxp94h9pwe64vxrtd4kayn2zza,loop-ust,85350008,85350000,8
terra1v7wecuhv9apkafe2e4l940khkczeq8t0w02h68,luna-ust,13171246,13171000,246
terra19p2enw97yh4fpsdx5keac47m9d399cykqa9553,loop-loopr,2926451107,2926451000,107
terra1c2jt5qagk3l5kva6ltd0kypvtgtzh95dzrduc3,loop-loopr,15690208213,15690208000,213
terra1rcus83pvn6uvt4hfc3kvcqjg9wx0xhsunfdpfz,loop-ust,2670030,2670000,30
terra1gkg4077ae2wu83qwey0lsq5yk0ruu5udfc9jq3,loop-ust,396505795,396505000,795
terra1h4q7sj0tgxr5exary2nc894rr5qhdwll6nhax4,loop-ust,933253,933000,253
terra1dyqjymav9pkek26l3mfh4uuf3kr7s9c7ds4ttk,loop-mine,22447668,22447000,668
terra17lrjrktf2rdj9mqe846n8sgxj4wxc8tv6c5cjh,loop-ust,517164906,517164000,906
terra1l2luw86x6nyeqws9akecrlcrg0rq6gq3chzxqz,mine-ust,4570495051,4570495000,51
terra1yvqrs2me6qtpeg8ugnzv2msuuzp6m3djyh3f3n,loop-lota,10203898,10203000,898
terra1etwq0q8wwnmq7322kz4v6ff2dcvwfm634vdkqn,luna-ust,37927586854,18963793000,18963793854
terra1rapu59acw73mxua5wac4jf979rr03m6fxfnwcw,loop-ust,136791331,136791000,331
terra1ck0y2en9pqralx8jzf4lvp72vspz6g9x8eydlz,loop-ust,75303093,75303000,93
terra15apafc7u9gaqfvyp2tk380dxn026s6puqxc03l,loop-ust,420892981,420892000,981
terra1djxpz93j2lrjktqky6snq49scld94ywxrqgxmg,loop-ust,28286427,28286000,427
terra1fcpj3fsxexkm6e8mm7z86hn6e29r88c3dfq4n7,loop-ust,100890235,100890000,235
terra1ndnqvhz3smsq0nuejf2ajnk9l8etn24fkl4k6y,loop-ust,11772980,11772000,980
terra1gyw93z3qezdgyahg3z3zyuxn075vgpug8uhpks,loop-ust,40090680,40090000,680
terra1lrnak5x740vxjs8mxvzlnwqc3rvqhq2qg4jcs8,loop-ust,34712348,34712000,348
terra1lsve48sqrhknvlvze3p7k0pc7gtvl68wanjvaj,loop-lota,354523954,354523000,954
terra1agtdtpvsutau0qxfueu2xq33jlc0suqqh0k6xn,loop-ust,9016234,9000000,16234
terra165gnzkmfltju6p8v4sz7vw96m36tnnw9ff3wr9,loop-ust,19674502,12363000,7311502
terra1u2ekx3prpyqmq9khhvvmdaakn9yy3qjv02x24x,loop-ust,6301133,6301000,133
terra1ct5sl6znunr35huh7yasmv20gskump3xwl68hr,loop-ust,94272872,94272000,872
terra1qhllgwcrsxtf7wr2quzv34y4emwkr4d9rjr4rf,loop-ust,21681986,21681000,986
terra1jhwhy4kp2r43gndjh9lgqdvnlugpjm7h6aaczl,loop-ust,85048352,85048000,352
terra1ypg77s7anewjwn2xl8a4svdnnh7ns8l2rr7p9h,loop-mine,1089548,1089000,548
terra16vazku9aqs35ez2s3f6s8yswh9z8yfqqgmrh9e,loop-ust,50401466,50401000,466
terra1whhz3fnhea77998xwdngjxzwn93tfehk7rcj6f,anc-ust,1369737051,1369737000,51
terra1ywluuc06y4zrcyc7f3z6ls76uxygw7xdfvkghp,loop-ust,3292063,3292000,63
terra1fmsjwsn62wr8vegj9zmznwv8wemzc83kghy9hm,loop-loopr,11410227,11410000,227
terra1m59dmzwxd4nv32cydvnnz5qxz5a0re9jz727z0,mir-ust,2269696363,2269696000,363
terra1uwk4zljy2vwflaec90v9q9lgdrkjntpp58zcae,loop-ust,108420701,108420000,701
terra1lqppq8v8spa43hw8nytdwv3tu7chn22gxykeew,bluna-luna,1351917,1351000,917
terra1az7kvr09cj6t8jw2u2ah2jr523rgny4ez3u9tp,loop-ust,4934448,4934000,448
terra1skm8vws6gp3krxupulm7lsd324g4hfq7lvt2lv,loop-ust,42514341,42514000,341
terra1c2fe6mdepy84hsazggj3k65a5jj3we8z5ltp4p,mine-ust,12153248920,12153248000,920
terra1sxszcyqqp5erd5lguvkx7dv4mfry24wvgjuhzw,loopr-ust,62500086,62500000,86
terra19hjmw0j22wgx3f3dksp84ae87lfa4fju79mtsy,loop-loopr,755657716,755657000,716
terra12wg6fxhmv695gd0qwu5pn48kyq7rzqf6dzym5l,loop-ust,416759291,416759000,291
terra157lkumrk8wdm5krhnknusv22xajvs8h6jl2dun,loop-ust,1112318477,1112318000,477
terra1nees63cx0mxkkcagwy9k74wpch3h2zqnl8sjf0,loop-ust,55688699,27844000,27844699
terra1vct6vfh9a56v3xurnc690hrqynnppwk94uej66,loop-ust,42838653,42838000,653
terra1jplkyvysfdjr8clu4zzp70ymfq4xmy7k3v0n4h,aust-ust,44998142,44998000,142
terra1hdr9rjrlqkschempf0ktlx89yhlgm895zrycp3,loop-loopr,19061085673,19061085000,673
terra1aqt0w5jrtd7d4h7vqref0n0wpdv4y679hyy76e,loop-loopr,1400812273,1400812000,273
terra1dxrmu90xv6v5xsckaagvzhdydk6zh2znevgzl4,mir-ust,35804751,35804000,751
terra1f7kkujqpjauhkv3yrna7zrvz8tk6d3dydw70tv,aust-ust,23770752632,23770752000,632
terra149ezzqpvla7t7x2atu8k7aykay6zp86z404fc0,anc-ust,89760489,89760000,489
terra1ayf2z8hek6txqyy6958v786e5plglq4ey3upyd,stt-ust,174502056,174502000,56
terra1pewnysd0msavh8q6vmhfvnvj34a5m3eppu09d5,loop-ust,467147146,467147000,146
terra1ehkdglclr5qk8533tspax4942enacaxa9mylth,loop-ust,10924615,10924000,615
terra1d57dp3q5an9jajy8d3q5g7rxrqplj4jat42lva,stt-ust,248895246,248895000,246
terra1stvqdtsmc2ckk003z89ykkzv9tqk9s6t6qxz4u,loop-ust,86287480,86287000,480
terra179lkh57ajysmmvldel6dj6fdf4hme3r6cmdxl9,loop-ust,23528827,23528000,827
terra15qq8hsnpcyp7g9lc9qvhdfe99q6lmtnpz65p20,loopr-ust,1790503870,1790503000,870
terra1e4skyt0jmecsewg7qsccmqsxfe3e8pdguw3ttg,loop-ust,118154875,118154000,875
terra1klx2x54hj6rhvdcp57mz6jagf8mkmgr4dshcdc,loop-ust,882229842,882229000,842
terra17pc23n4m3qy3gwsv9zd34qpxrfafypz629lj78,luna-ust,461017358,225432000,235585358
terra1366t8m7hljga99gmm7g8wxchc974zyzefpqts2,loopr-ust,103286267,103286000,267
terra1ea9jjsrq0vsp9949kk5q25mjctn5yawaxdheky,loop-lota,248854626,248854000,626
terra1y2a5t52sjrayvtm8k2nde04sdhl4crfjs2njpp,anc-ust,221983589,221983000,589
terra1s7nxlep2jyux6p7pcpwqhlem7g6guk99c5dyvz,loop-ust,86795222,86795000,222
terra163s79lsyshez835nn2mq8lvpm53vxtenjhsuv2,loop-luna,3592789,3592000,789
terra1nzd0f9pdqg59t2pt5dud8t4a4uzvatdl90jmxg,loop-ust,345261534,345261000,534
terra1p7382c8pccmnqm6qur757a83nxegygf6vmhtd8,loop-ust,192026344,192026000,344
terra1jy73htmnq4dgvty379jve4xa6df7mz8gn7t7u2,lota-ust,620752914,412146000,208606914
terra1k0z3pfcwwplekcg8zv4kutp6exaa4cerrkt2hw,loop-ust,46968921,46968000,921
terra14uapeeadtcx6nwjtyrgwt3wfptmn5eck68x4dd,spec-ust,651479441,651479000,441
terra14ue8tjg0gpd8wkcq0y65steyst27whyglss4r0,luna-ust,3194695,3194000,695
terra1rzq8l0ps4qtg3yn28xjjsw2d0ccecqrq0vdpy4,anc-ust,935847161,935847000,161
terra130xsrt9vvawp4y3z02usjgpdt7jres2elgfuyt,loop-ust,88110366,88110000,366
terra1tqncy7g24v9w4xpm6qt2whr4dnwjk9kv4sa8ew,loop-ust,9126616,9126000,616
terra1qrsf98ce0fwq6h3upxk59sl0l206w9kltdnfq9,loop-ust,6928907776,6928907000,776
terra1yauztjxnv4tnfm3alqmq8uv52jlm8lhv6nnd7l,spec-ust,135221526,135221000,526
terra12qzhrx7csqyp82ewmwwwp6v75xj3qgtm458qrz,loop-ust,730114730,730114000,730
terra1n2rd5xutup5vvj0t0djwmta24302radjkcc9hf,loop-ust,9106354,9106000,354
terra1vz05zjv894xnzf8l00s6xglpg8ryfyj69qyqp5,loopr-ust,135045304,135045000,304
terra1n2ckw7c49a8nhtm40lyrurhw54tzujwn3tayql,loop-ust,15329713,11496000,3833713
terra1kpu7eag64rkfee00vlz2xv4rpd60nwk596m3z4,loop-ust,203191644,203191000,644
terra1ggz3j8uh0ht8rhhtjtgwyx20wxx3ln24e6yxnw,mine-ust,410314414,410314000,414
terra1gzgc3ptg660uhpgxhhntder8wyfeg0vsugzn8w,loop-ust,78276472,78276000,472
terra1m5zjpwvkf76dvd8pf6dvsf6mdqemrsx3zdrwt2,loop-ust,486289596,486289000,596
terra1kkr558r8d2jkzm0hsh445w3hlleh4djdtnmh70,loop-ust,7275112,7275000,112
terra1xhapnxv3pzn48f3xyphwaex2a083hj46uptlj3,aust-ust,2065181448,2065181000,448
terra1ej7pj580kd5h6cc65xeqmlc95kkf9ld7uuqsxy,bluna-luna,49816461,49816000,461
terra1kqq2c03vehd0gc9f6a95wrsvypuey7dncnw3uc,bluna-luna,38248593,38248000,593
terra109dc4za59kqhd37euayeuuall80n9wlyy0ut2n,loop-ust,6314284,6314000,284
terra196djkp92vqk7pg0z009xs5q8uk5ezgj6qs327p,loop-ust,897496377,897496000,377
terra1pqd2wr3wlhcxq7wqt8eeymzcfhhn3cx769vwt2,anc-ust,15633835626,15633835000,626
terra1d7wtx9g39n7nv2stq2vwgv5wyqw3f3rtku86hq,luna-ust,7654813,7654000,813
terra1rjncy8eg2h4lnkssy9m3cyr8zququ3rt060en5,aust-ust,5591965427,5591965000,427
terra16hzm5fxwa5207w9lkgte3n9c9t8sg6u26gqp5g,loop-ust,294374953,294374000,953
terra126nsny6lt7a3wt20g0k5ul6s9th24cmsngcr6l,loop-loopr,393192366,393192000,366
terra1m9m88qxttvxashvtcv3lz5ts7yu7r7gf73gtmw,loop-ust,58753803,58753000,803
terra19vr49zklx59mgj5ax7numwmn3vaykdzfxqkqga,loop-loopr,739474153652,739474153000,652
terra1s3e3xakynzkw53hmujasejpuek55deapyyfg5a,loop-ust,60920216,60920000,216
terra18cpypw4v90cmepqer2d8q4eu830hj0qw6cj8e3,loop-ust,89776969,89776000,969
terra1e9wgwsgsjlkdmy2rltjguwdya9fpp2jrvdts7f,loop-loopr,200533311,200533000,311
terra15f38h4932axwwysfnspneg95l7w2pna92dfmht,loop-ust,5677923,5677000,923
terra1ew6824jrxkkqra87xl8t20ddrfq0hazu4hfwfx,loop-loopr,610614352,610614000,352
terra13pz88dzxkl8jy42lsjwzlhch4gjn7q9uyk8m2e,loop-ust,478566945,478566000,945
terra18yulft3pryhh6xtfg4zdcul34gaj8unf689emq,loop-ust,395865807,395865000,807
terra1xe9jx2cvet32rd4j0gq4wllgf6c3djh4z6ausu,bluna-luna,455165721,455165000,721
terra1ljjfkqn40x294u3f2uzd7xrj4pg4v4q9gceee9,luna-aust,404669420,404669000,420
terra17quzv4jzakh0rulsxz00n8s7000gap4acr3cr2,loop-ust,25717352,25717000,352
terra1pgz5h59pa3k9exad0ju80efqw56zlvd5n8gqns,loop-ust,12624256,12624000,256
terra10xx46ahg4av6dy65vncwpn7vsc6v2c6nswjauy,loop-ust,51540585904,51540576000,9904
terra1sfrrar3l6ee500pdlttf54l0wmayqq0ez8fnc9,loop-ust,98532066,98532000,66
terra10vntfy2rp7eueq27xepzmmumqwxwdrxpz3jdm6,stt-ust,7947664,7947000,664
terra1dxr30nwwl96hsnwk76z6c88se5al5c45sfpr0x,loop-ust,9473116,9473000,116
terra1fasmsp7ue3pv96mr9s9pc67w0wvhy96vmus62s,loop-ust,393785237,393785000,237
terra1vtgjc3g626nh7xm205jwvxg3sha6z78a2nn38p,spec-ust,10819988,10819000,988
terra13k24u5rcz9p9j46yhulyeg34z40ff89wf0yaqm,loop-loopr,1642606874,1642606000,874
terra1sqq2xfe0q4p2uckmy96dkqfhpathwgq5nlyyc8,loop-mine,10402261,10402000,261
terra15yfuxx53yrc6n2uezkwu0f9ytk0n2ync56pd8j,loop-anc,63614498,63614000,498
terra10lp6svq9crz47jatv4taujha8l5s6aj55wp466,loop-ust,2834633,2834000,633
terra1s2jxcal9mfh8380gjrucjfd66d6s9eyejwfxg3,loop-ust,43838790,43838000,790
terra15sv8s5tasty5mukpmfpqwmhq68a999kd08y4ae,loop-ust,39107915,39107000,915
terra1mfpwpwx2qgczgqgwsl2jzu9tdq4tv2gqaw2x9x,loop-ust,17590953,17590000,953
terra1685yjrjwur69v05cpmjh4r29qssajcffeg0wx5,loop-ust,144859572,144859000,572
terra1t6urhhpzwy5jh0wsa62zuy3l7zrg750djk4kez,loop-ust,8642493,8642000,493
terra1jvs56m7m4rul7j33xusecnkgv828ra2wufmv63,loop-loopr,18077960566,18077960000,566
terra1jvesu78v95x9pwv43c5jemrz597unjv68p4y96,anc-ust,53992076,53992000,76
terra1dam2azx79xduz6y74xzgqstslgfv4gm3p476kh,mir-ust,30270617,30270000,617
terra10lqg6w08gkjyvkzlam5lw2z6ewlc09rfg9vntm,aust-ust,4251752443,4251752000,443
terra1azk8q49w92gj7c4rul3qstghlcpe9mt4qrjtc0,loop-ust,3059724,3059000,724
terra1fxfs9c3r5gafk0gjzd73p2fxext0xc0x3v4kzj,loopr-ust,26983785,26983000,785
terra1en9aq5zrupu3l36rl9nflad0jqsz4y35rfevpp,mine-ust,28579276153,28579276000,153
terra1yg8j0tk5khqz05ahenzf3k2e8jzqf9wh3ttvyp,loop-ust,194913383,194913000,383
terra1p4m2cdngvh34vwal3pecf9t4xjuqhryujsaywx,loop-ust,63202107,63202000,107
terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,loop-mir,18019722881,18019722000,881
terra1d45jx82h4daf99yqp849sznc49nn5pzfl0s72v,loop-ust,35772211,35772000,211
terra1xu3c8aqy66ydgke98sunqquy0ef2alp5jncf42,loopr-ust,36530918,36530000,918
terra1pjfshf76hpz3pzqqrlpnyhv6ud7upkhpu6r809,loop-ust,522857386,522857000,386
terra1g4fxjajcymw3ynmjj8jnp4ljah86z9vzg6un9n,loop-ust,286773377,286773000,377
terra19wcy3yvjcur49asxn9mzjaldaysmh9xlsp058e,mir-ust,751459436,751459000,436
terra1egt43djsz6h8vv0h80gmrcv7s8ykxa5x9ejmnt,loop-ust,9056365,9056000,365
terra1807jh6gwz0saj8sgk0akh4snlp6af8ym6ucsrj,bluna-luna,16037311,16037000,311
terra1qs9aycn8e38t3krlnedzdharjr2q46088haahw,aust-ust,229620182,229620000,182
terra1cznez26jekchxwed7s3hxq2yn9ws88y4tunjhu,loop-ust,51379343,51379000,343
terra1dg66744llzxj66kns76usk6wtg2y27wy20nu9f,luna-ust,649627545,649627000,545
terra1snxxujl49asuw25hxnce9r94fret5wuw26v5f7,bluna-ust,217978066,217978000,66
terra1hp3emmjswnv689n7agjazn64gfcam9cf72tgx7,loop-ust,8089907,8089000,907
terra1wyltjgu53kgu9f6dn2z8nvp2w7zqk5m0k452zc,loop-ust,19070834,19070000,834
terra1vn8r5qc2pyuxqus2mg50lamx4ty9zwy8rp3arp,loop-ust,7773482,7773000,482
terra15wkzgn8zlrdvkhncu5ah3f9lcu8jldzqxnw30u,mine-ust,15530035416,15530035000,416
terra15733r2czqlxtf3cvmr0w73vatg602xn5qyapgd,loopr-ust,192231629,192231000,629
terra1kxywe6k849wrnxahtv8h3r0xdewa8ses9sdflj,mir-ust,262132199,262132000,199
terra1pwx6qqwpdda6j0uwpjrr5lxkm7nzdghcms9hsg,loop-ust,1420602516,1420602000,516
terra1u86hrcq2e4t8r0k5u8j06a0r63jv8zmden0k53,luna-ust,6584048,6584000,48
terra12exsuqf0lcnq809hxs7lczx2plax7ljvretu8c,loopr-ust,417169028,417169000,28
terra1lzglpxwjpx763g43su3mthlar77e2wq25gplu8,loop-ust,1333204437,1333204000,437
terra1w3ejs34her7fu509y7yqdeh5pkvmhu89lx95ke,loop-ust,8409756,8409000,756
terra1lhxuhgcadactg82ss5wjf5c0m95ldnm2fvqk7c,loop-ust,7882968,7882000,968
terra1dk6l076rm4d907kes4p85smetd86mtwewhs2kq,loopr-ust,46449868532,46449868000,532
terra1lth936gslsn954gggldc8hajkdulrgt3qvprm0,loopr-ust,55075113,55075000,113
terra1s2srvcyzfa2agegawk7ux3vezm983lgqlpl4sw,bluna-luna,1651328469,1651328000,469
terra1yxfgvtq2f5q77du6mjll6kp27gn4cua72r4x55,loop-loopr,78123260730,39061630000,39061630730
terra197rrasa42sq6hcg5r9tx5rfrehx43r9yzhev0h,bluna-luna,26026970,26026000,970
terra1lth936gslsn954gggldc8hajkdulrgt3qvprm0,loop-ust,7763771,7763000,771
terra1gtwthyqqxr40e2zvft5uuvnlhwwewsny7cuqkv,mir-ust,42649212,42649000,212
terra16e72dacdmvcxdtk7l7ve8hxrg4n8lcv0uq0pf6,mir-ust,2950981464,2950981000,464
terra1t5apfjqlwqtau48w44rnszjntcdy808mkympwt,loop-loopr,109665161,109665000,161
terra1lrrlqflf5c0vrqn5540ddzng5e3alzerxg2qu8,loop-ust,17154091,17154000,91
terra1nur53qh4cuh8pc6vp60ps059k6m6dlzrjswwff,spec-ust,45151296,45151000,296
terra1l0phqd22tm32vhuep2td503glse827r3r35h4r,loop-ust,66557624,66557000,624
terra1wy6y7m2j2akzeh0c7ysv3v7dqx8xspxvydpgmz,bluna-luna,27792492,27792000,492
terra1tp0pe48j6lxez93kh383yv55cvl9u22dnpkjtv,loop-ust,796332588,796332000,588
terra1akr8s8jrlzwe8nfnxwq2m0l3l4vlc6dnl8s2w9,loop-ust,17130798,17130000,798
terra1k5smyh2ktefqtmeyh544fu0eazxpks2k6x55ak,loop-lota,124741824,124741000,824
terra13nm0xfaggm0tcnr0jna7wf95vlryfsraevqa4h,loop-ust,851071,850000,1071
terra1qg0f0cewcn3vy8wktpvduylt4rxje0elg04zw5,loop-ust,9350768,9350000,768
terra18e7suxwmum84j5scdmn7wltms7ek87f53teatc,loop-ust,852246619,852246000,619
terra1eyagta9vy3tvzlyhnpqpjydxj3h7k5r3zxx9v3,loop-lota,1128311502,1128311000,502
terra1s2z7rgg5srxl9y2yu8682ddge0dj530hz8ksfc,loop-ust,16890650,16890000,650
terra1t0snlm8p53d7kffwkxrnt4el0ddl8zyq7yaxx4,loop-ust,61243761,61243000,761
terra1n6rm72fdk8ak6s3hmt7qcaewlexy4fshvjpgp8,loop-ust,213870506,213870000,506
terra1hr9lwr3shat46d5myypw7j3henh82zhx2r03hw,loop-ust,70992319,70992000,319
terra1a0dt6rcr28s29wg7w9h5ryjrk3x7jehr8juqzx,loop-ust,8914466,8914000,466
terra1f3cjztgw9zc52gcfd588cf5ddh7zxtugx8zk3a,aust-ust,35869094,35869000,94
terra1t22q96uum4fzvyzv45xjl7lhcj46j62ycx66n8,aust-ust,897129921,897129000,921
terra1f603hlwa4mp3queeqdjxxdglhtywtjnqed95fw,loopr-ust,223726253,223726000,253
terra1a6n2e26aml75lczpkn90v6k5lwcrj4y5f8yq4l,loop-ust,23457688,23457000,688
terra1a2zecv8grma0y4txvf8fwrnngfsq22y5wqk2r8,bluna-luna,3396008,3396000,8
terra189smxct3ar4fdqh63duerlez6c5m0m236ar9rc,loop-lota,6151512,6151000,512
terra1ac08ncyfele84ac2udn3n7rcrnkrvyux2wpwsx,loop-ust,36250245,36250000,245
terra19qkh5ugt5cz3c69vyzv5axk4skcaucc9m350f3,loop-ust,2202571,2202000,571
terra1cwq5pzhzeqqe3c2zajgl0v7gecjw34y7at3gt5,loop-ust,132627113,132627000,113
terra1jt0p9faj3zfuza806fdg8dyjse0k8el8rnruq6,loop-ust,7115261,7115000,261
terra1vx20cg5q8n2gx9ukxp50xr5v3e2s5m4w649knv,aust-ust,1051106104,1051106000,104
terra1yskqux3wx2ay7gwzsfk934vcslznyvk6nfn52s,loop-ust,427830414,427830000,414
terra1guzznc5cser03fgj0eamludr92ax2sx3ur6vt7,aust-ust,1851988968,1851988000,968
terra1xsglrhexmj6ex6pc97d0sshakxshj7ptqgsryl,bluna-luna,58760,58000,760
terra13vqlfe0lf6wukt0nxy49548af8eqxf02d3htap,anc-ust,16499936,16499000,936
terra1ld9kx2umesmp46qm80ns9r86syffm865y9sxqm,anc-ust,33813266,33813000,266
terra1czz9afkt5yq5d50fmpfl68f3ruecp96xnk88rk,loop-ust,1372946,1372000,946
terra1gzyum7wcjqfzyy9fz4sz6g74jmgmnfqascauu4,loop-ust,4864387,4864000,387
terra1ymkvtv4u29a3egazpyn3c2049q20t6qzyt66xa,loop-ust,415292347,206214000,209078347
terra1vsyh9c9jxd8q6zt8dw4vl3prxgwfl9t2gmq2v8,loop-ust,223221201,223221000,201
terra1rcfumxet0cgzx00y4aqc6amy0anse49ntmwuvq,loop-anc,26458954,26458000,954
terra1yz3nr726qvd49kzzuzjpl006dupwk3x7g3687a,mine-ust,1136660824,1136660000,824
terra1z3chnvlsttg52uys8saehrl274mvfgv6ug8jk7,mir-ust,76993735,76993000,735
terra1ypfmj94w79et48g79gwav4w9x7hxakfzty9y3a,luna-ust,2463173740,2463173000,740
terra1p2ukhtajatjt63fdyhtzc76lgnaevujxuqcj68,loop-ust,658699288,658699000,288
terra1srs42yef0y83vy7xdpy5dcjqwcwr5zlmswka5j,loop-ust,16890640,16890000,640
terra1n827w4lzy8w6ymgtzwrvntxwjg527nhztfw5zd,loop-ust,204884341,204884000,341
terra17yh4mhmj43p78hty55akenjlcx3txucrye0v7z,loop-ust,377546118,377546000,118
terra16tx9dflh3cpa6kws6sp0rfjdjxms0fss80szgf,loop-ust,249363087,249363000,87
terra1qpfz2kak2u8a2fj99srsr7g3p3na4xye0c8dhr,luna-ust,1563880515,1563880000,515
terra1yw9kfcetgw6xrrhwyl8fp459y4u0rjf3gq7kmp,loop-ust,200102313,200102000,313
terra1282sn8mj3ut6myyz57q0nef6jdk06kj69ekjfn,aust-ust,897128193,897128000,193
terra1098efvh38fm9alxhpy6fn2uwdw82nl6l50u3u5,loop-ust,504622691,504622000,691
