mint,capped
3UsmQBbsJN7KkN8xg33kRjNQbKLcy6yXZmouQ9h4hFV3,TRUE
BjchSUiDMfyX6aE9NX8hToCukvws8ehhyUV2qjqr4wrA,TRUE
D3xb6HHqG3HQM3kjp2GzLRFVKtNQaNohktuGSp16hvmD,TRUE
BgVojZGch2MCJ6waAjy3wrQBCqtViXYwhYgUY6kdyeLK,TRUE
47DnTEamtwuVPxxS3mac8DiLrBvZCFfbTMe6HaGTn3Ak,TRUE
EEHNEqwZfmLW5tDe3xWwF3zAa6RMRaC8tjmb24huwund,TRUE
3uima47Q4myA1jJ1XYgMQynyfzsbV4UKVNVR4dvw6FMf,TRUE
9gYH9DKNxRJc45VWtxjaQw46rhHWk2fQnohHuGYy8euU,TRUE
5A8G2jMVjjVwWsXkNWgKxMHtEb6YXNfF5tNCLshaDaKH,TRUE
C52L5PSqa1jXcbDcFYf1Ypt6Vr5oxbmemWBxnwpE4hBh,TRUE
7SX3MVFJcvQddpdZZWa8jF6K4amPcJjTssJNwmqc8F99,TRUE
8w5noAeS6BQbhHiXpmES1DvcKC7UvwCCPhr5bRXHjpzQ,TRUE
3wAShxXTDEH1U1ikCfqypEJ6tEp7XyX6ZKbK7NeLeWPm,TRUE
A5ZKMramGCJRG5ujVNTctXGjSUMrUv11bFt1tVmdLirb,TRUE
7asUDefbjsoo1xp3RuvNPksTLf2oWf4XMH8drrfv7GDQ,TRUE